nds,de,title
Ik bün vör Eerdbeven bang.,Ich fürchte mich vor Erdbeben.,
Ik bün vör Eerdbeven bang.,Ich habe vor Erdbeben Angst.,
Dat gefallt mi temlich good.,Es gefällt mir sehr gut.,
Ik weet dor meist nix övers.,Ich weiß fast nichts darüber.,
"Wenn een toveel itt, warrn een dicke.","Wenn man zu viel isst, wird man dick.",
Elektrostal is veel gröttern as Asbest.,Elektrostal ist deutlich größer als Asbest.,
Dat is al Klock teihn avends.,Es ist schon zehn Uhr abends.,
"Datt is keene Hebrääsch, man Jiddisch.","Das ist kein Hebräisch, sondern Jiddisch.",
Snack dor mit em ich övers.,Rede mit ihm nicht darüber.,
Do wat du wullt.,"Mache, was du willst.",
Do wat du wullt.,"Mach, was du willst.",
Eet dien Supp!,Iss deine Suppe!,
Is de Bänk apen?,Hat die Bank geöffnet?,
Elk Kind kreeg en Geschenk.,Jedes Kind bekam ein Geschenk.,
De sünd binnen.,Sie sind drinnen.,
He deed Geld bistüren.,Er steuerte viel Geld bei.,
Datt is miene Kantoor.,Das ist mein Büro.,
Nedderlandsch lehren is nich swoor.,Niederländisch zu lernen ist nicht schwer.,
"He unn nech snacken, vonwegen datt de Tokiekers to luut woren.","Er konnte nicht sprechen, weil die Zuschauer so laut waren.",
Ik bün di een schüllig.,Ich bin dir etwas schuldig.,
Speel nicht mit ehr Geföhlen.,Spiel nicht mit ihren Gefühlen.,
"Vertell mi, wat du wullt.","Erzähle mir, was du willst.",
Kiek di dat noch wedder an.,Schau dir das nochmal an.,
Se kriegen keene Cent.,Sie bekommen keinen Cent.,
"Dat beten Geld, wat ik bi mi harrn, heff ik ehr geven.","Ich habe ihr das wenige Geld, das ich bei mir hatte, gegeben.",
He hett sik na ’t Avendeten henleggt.,Er hat sich nach dem Abendessen hingelegt.,
"He seed, dat dat Klock negen wees.","Er sagte, es sei neun Uhr.",
Du büst man en Student.,Du bist nur ein Student.,
Opmaal deed ik en Schree hören.,Plötzlich hörte ich einen Schrei.,
"Tom wöör to stolt, üm sick helpen to laten.","Tom war zu stolz, um Hilfe anzunehmen.",
Se sladdert temlich geern.,Sie klatscht sehr gerne.,
Dat is en Schädel.,Das ist ein Schädel.,
Ik bün in Tokyo boren un upwossen.,Ich bin in Tokio geboren und aufgewachsen.,
Wat seggt de Klock?,Wie viel Uhr ist es?,
Wat seggt de Klock?,Was sagt die Uhr?,
"Wat he ook seggt, vertro em ich.","Was er auch sagt, traue ihm nicht.",
Mank de Blomen wüss veel Unkruud.,Zwischen den Blumen wuchs viel Unkraut.,
Ik heff datt Snuppdook plätt.,Ich habe das Taschentuch gebügelt.,
De Straat is natte.,Die Straße ist nass.,
Wat hest du maakt?,Was hast du gemacht?,
Ji sünd duun!,Ihr seid betrunken!,
Häs du aal Middag gieden?,Hast du schon zu Mittag gegessen?,
De Topp von ’n Barg liggt ünner Snee.,Die Bergspitze liegt unter Schnee.,
Du brickst di den Hals!,Du brichst dir den Hals!,
De letzten Beuker wörrn vor acht Daag verköfft.,Die letzten Bücher wurden vor einer Woche verkauft.,
Mi geiht dat good.,Mir geht's gut.,
Mi geit datt goods.,Mir geht es gut.,
Se deed miene Idee tostimmen.,Sie stimmte meiner Idee zu.,
Waorüm sünd de Schandarms huer?,Warum ist die Polizei hier?,
"De optimale Reeg is nich 1-2-3, man 3-2-1.","Die optimale Reihenfolge ist nicht 1-2-3, sondern 3-2-1.",
"Ik bün froh, di to sehn!","Ich bin froh, dich zu sehen!",
He wüss datt nech.,Er wusste es nicht.,
Ik heff toveel Tiuch!,Ich habe zuviel Zeug!,
Wi mööt eerst uns Huusopgaven trech maken.,Wir müssen erst unsere Hausaufgaben fertig machen.,
"En lahme Katt is mehr weerd as en gau Peerd, wenn de Pallast vull Müüs is.","Eine lahme Katze ist mehr wert als ein schnelles Pferd, wenn der Palast voller Mäuse ist.",
Tom is beneden.,Tom ist unten.,
Boomkoken is en düütschen Spezialität.,Baumkuchen ist eine deutsche Spezialität.,
Disse Ruut lett sik nich apenmaken.,Dieses Fenster lässt sich nicht öffnen.,
Dree Ies harrn ik geern.,"Drei Eis, bitte.",
Ik bün vüör den Krigg in Europa wesen.,Ich war vor dem Kriege in Europa.,
Weetst du wat?,Weißt du etwas?,
"Wenn den Schipper de Wellen wegsnappen, is gor nich to beduurn de Mann. Wat geiht den dösigen Knappen dat Froonsminsch dor boben an?","Ich glaube, die Wellen verschlingen am Ende Schiffer und Kahn; und das hat mit ihrem Singen die Lore-Ley getan.",
Wi sünd övers ’n Atlantik flagen.,Wir sind über den Atlantik geflogen.,
He möök datt Kiekschapp ut un füng datt Lihren an.,Er schaltete den Fernseher aus und fing an zu lernen.,
Een hett mi mien Saken stahlen.,Jemand hat mir meine Sachen gestohlen.,
"„Hess du Rias al maol sünner ehr Handtasch sehen?“ – „Rias? Ne, noch nien.“","„Hast du Maria schon einmal ohne ihre Handtasche gesehen?“ – „Maria? Nein, noch nie.“",
Ik bün plietsch.,Ich bin schlau.,
"As ik 15 wees, heff ik en egen Kamern kriegen.","Als ich 15 war, bekam ich ein eigenes Zimmer.",
He schient geern to överdrieven.,Er scheint gerne zu übertreiben.,
Tom drinken gor keen Alkohol.,Tom trinkt gar keinen Alkohol.,
Rachter datt Kino is en Park.,Hinter dem Kino ist ein Park.,
Wo hett Tom mit Ria över snackt?,Worüber hat Tom mit Maria gesprochen?,
Kann ik mien Dokter spreken?,Kann ich meinen Doktor sprechen?,
Se het sick datt Foto von mi as lütt Buttjer keken un hätt lacht.,Sie hat sich das Foto von mir als kleinem Jungen angeschaut und hat gelacht.,
Du schusst mien Raad antonehmen.,Du solltest meinen Rat annehmen.,
De Buer het siene Trecker in ’e Schüün staht.,Der Bauer hat seinen Traktor in der Scheune stehen.,
Ik heff dat Book för tweehunnerd Yen köfft.,Ich habe das Buch für zweihundert Yen gekauft.,
Dat spöökt in dat Huus.,Es spukt in dem Haus.,
Ik heff jümmerto en Wöörbook bi ’e Hand.,Ich habe immer ein Wörterbuch bei der Hand.,
Düsse Wand is gröön anstreken.,Diese Wand ist grün gestrichen.,
Ik heff ehr vör twee Johr jichtens sehn.,Ich habe sie vor zwei Jahren irgendwo gesehen.,
Ik kan nicht wiedergahn.,Ich kann nicht weitergehen.,
Bruuk af un to maal dien Kopp.,Benutz gelegentlich mal deinen Kopf.,
"Dat deit weh, di so to sehn.","Es tut weh, dich so zu sehen.",
He keem in’t Wanken un füll hen.,Er verlor das Gleichgewicht und fiel hin.,
Wat schall ’t denn wesen?,Was darf’s denn sein?,
Datt is mi schietegaal.,Das geht mir am Arsch vorbei.,
Miene Tog is Klock söven losföhrt un Klock tein in New York ankamen.,Mein Zug ist um sieben abgefahren und um zehn in New York angekommen.,
Legg de Eier in dat kakendige Water.,Lege die Eier in das kochende Wasser.,
Ik snack mit di.,Ich spreche mit dir.,
Ik heff dat in en Koophuus köfft.,Ich habe das in einem Kaufhaus gekauft.,
He keek ehr deep in de Ogen.,Er sah ihr tief in die Augen.,
Italien is in Europa.,Italien ist in Europa.,
He is en bäten beters as en Pracher.,Er ist ein wenig besser als ein Bettler.,
Wis mi en anneren Bispell.,Zeig mir ein anderes Beispiel.,
Falken sünd Griepvagels.,Falken sind Greifvögel.,
Dat is afköhlt.,Es hat sich abgekühlt.,
Gold is sworer as Sülver.,Gold ist schwerer als Silber.,
Tom is al drie Daag in’t Krankenhuus.,Tom ist schon seit drei Tagen im Krankenhaus.,
Utstarven is Deel von de Evolution.,Das Aussterben ist ein Teil der Evolution.,
Mien Hobby is Breevmarkensammeln.,Mein Steckenpferd ist Briefmarkensammeln.,
Wi hebbt keene Geld övers.,Wir haben kein Geld übrig.,
Ik verstah de Musik nich.,Ich verstehe die Musik nicht.,
"Ik heff utfunnen, waorüm as de Maschienen ich güng.","Ich habe herausgefunden, warum die Maschine nicht ging.",
Wat leest du?,Was liest du?,
Mien Süster is twee Johr jünger as ik.,Meine Schwester ist zwei Jahre jünger als ich.,
"Du kunnst sitten gohn, wo du wullt.","Du kannst dich hinsetzen, wo du willst.",
Ik heff tövt un tövt.,Ich wartete und wartete.,
"Bedankt, kan ik en bäten mihr kregen?","Danke, kann ich ein bisschen mehr bekommen?",
Maak de door tau achter di.,Schließ die Tür hinter dir.,
De Laden verköfft Aavt un Grööntüüg.,Das Geschäft verkauft Obst und Gemüse.,
De Laden verköfft Aavt un Grööntüüg.,Der Laden verkauft Obst und Gemüse.,
Wi hebbt en Bullenhitt.,Es herrscht eine Affenhitze.,
De Ampel deed root warrt.,Die Verkehrsampel wurde rot.,
De Ampel deed rood warrn.,Die Ampel wurde rot.,
De Kole Krieg füng na ’n Tweten Weltkrieg an.,Der Kalte Krieg fing nach dem Zweiten Weltkrieg an.,
Dor lööp en Rött över de Straat.,Da läuft eine Ratte über die Straße.,
En fuligen Röök keem ut de Kuhl hoogstegen.,Ein fauliger Geruch kam aus dem Erdloch herauf.,
„Laat mi tofreden!“ seed se argerlich.,Lass mich in Ruhe! sagte sie ärgerlich.,
Datt huer is en Foto von miene Schilleraatsen.,Das hier ist ein Foto von meinem Gemälde.,
In dissen Huus wahnt teihn Lüüd.,In diesem Haus wohnen zehn Leute.,
„Wat för en söte lütter Hund. Waorüm heet he Panda?“ „Vonwegen datt siene Gesicht utsütt as datt von en Panda.“,„Was für ein süßer Welpe. Warum heißt er Panda?“ „Weil sein Gesicht aussieht wie das eines Panda.“,
Wi sünd nech in ’n Dschungel.,Wir sind nicht im Dschungel.,
He schellt ehr Appel.,Er schält ihren Apfel.,
Ik eet mit miene Hannen.,Ich esse mit meinen Händen.,
Dit Wekenenn warrn de Klocken een Stünn trüggstellt.,Dieses Wochenende werden die Uhren eine Stunde zurückgestellt.,
Mi gefallt dit Hemd nicht. Wis mi en annern.,Mir gefällt dieses Hemd nicht. Zeige mir ein anderes.,
Se hätt di weckt.,Sie hat dich geweckt.,
Un wat krigg ik dor för?,Und was bekomme ich dafür?,
In ’e Köök fehlt en Spöölmaschien.,In der Küche fehlt eine Spülmaschine.,
Papa het Böker för mi kofft.,Papa hat Bücher für mich gekauft.,
He keem ut China trügg.,Er kehrte aus China zurück.,
Ik snack kuum mit em.,Ich spreche kaum mit ihm.,
He hätt sick in ’t Siek fastföhrt.,Er hat sich im Bachtal festgefahren.,
Disse Melk höllt sik twee Daag.,Diese Milch hält sich zwei Tage.,
Ik seh dat Huus.,Ich sehe das Haus.,
Se is na Ibaragi gahn.,Sie ist nach Ibaraki gegangen.,
"Ik heff dor övers nadacht, wat du mi seggt gest.","Ich habe über das, was du mir gesagt hast, nachgedacht.",
Höörst du de Vagels singen?,Hörst du die Vögel singen?,
Ik harrn ehr vörher al faken dropen.,Ich hatte sie vorher schon viele Male getroffen.,
Köönt wi snacken?,Können wir reden?,
Se het mi namiddags anropen.,Sie hat mich nachmittags angerufen.,
He sütt slecht.,Er sieht schlecht.,
Datt sünd keene Wöör.,Das sind keine Worte.,
Dat sünd keen Wöör.,Das sind keine Wörter.,
En bäten to lat is veele to lat.,Ein bisschen zu spät ist viel zu spät.,
He is gau.,Er ist schnell.,
Ik wees vüör üm un bi een Joht huer.,Ich war vor ungefähr einem Jahr hier.,
De Atoomtall von Iesen is 26.,Die Ordnungszahl von Eisen ist 26.,
De Atoomtall von Iesen is 26.,Die Atomnummer für Eisen ist 26.,
De Atoomtall von Iesen is 26.,Die Ordnungszahl für Eisen lautet 26.,
Ik bün jüst huer ankamen.,Ich bin hier gerade angekommen.,
"De de Schoh passt, de treckt hum an.","Wem der Schuh passt, der zieht ihn sich an.",
Wat maakt se?,Was machen sie?,
Tom sitt up’n Pott.,Tom ist auf’m Klo.,
Kannst du mi dat Dingens röverrecken?,Kannst du mir mal das Dings reichen?,
Se utsnackt söven Spraken.,Sie spricht sieben Sprachen.,
"Man tütt si ich eier iut, bes man naon Bedd geiht.","Man zieht sich nicht eher aus, als man zu Bett geht.",
"Se hett em rümsnackt, na dat Kunzert to gahn.","Sie hat auf ihn eingeredet, in das Konzert zu gehen.",
Hess du Tennis speelt?,Hast du Tennis gespielt?,
"Ik fraag mi, woveel Peer in ’n Unafhängigkeidskrieg dootbleven sünd.","Ich frage mich, wie viele Pferde im Unabhängigkeitskrieg umgekommen sind.",
Woveel Spraken snackst du?,Wie viele Sprachen sprichst du?,
Ik bruuk datt so gau datt geit.,Ich brauche es so schnell wie möglich.,
De Lüdd nöömt ehr Yotchan.,Man sagte zu ihr Yotchan.,
"Tom un Ria säen, dat se dat geern doon.","Tom und Maria sagten, sie täten das gern.",
Ik heff man de Halvscheed von ehr Böker.,Ich habe nur halb so viele Bücher wie sie.,
Du büst ümmer to late.,Du bist immer zu spät.,
De Barg is tweedusend Meter över de Seed.,Der Berg ist zweitausend Meter hoch über Normalnull.,
Sünd se groot?,Sind sie groß?,
He kunn utkniepen.,Er konnte entkommen.,
He tuuster mi wat in ’t Ohr.,Er flüsterte mir etwas ins Ohr.,
Drinken ji jümmer veel Beer?,Trinkt ihr immer viel Bier?,
Datt schall nüms weten.,Niemand wird's erfahren.,
Ik seet op ’t Partemang un wees an ’t Simmeleren.,Ich saß auf dem Klo und dachte nach.,
He deed kott twieveln.,Er zweifelte kurz.,
Hau een diene Book in ’t Gesicht un segg: Facebook!,Klatsche jemandem dein Buch ins Gesicht und sag: Facebook!,
Dat Huus dor höört mi to.,Das Haus dort gehört mir.,
Datt warrn von Dag to Dag hitter.,Es wird von Tag zu Tag heißer.,
Wat wees de Welt ahn Froonslüüd?,Was wäre die Welt ohne Frauen?,
"Ik bün 1,83 m groot.","Ich bin 1,83 m groß.",
"Ik bün 1,83 m groot.",Ich bin einen Meter dreiundachtzig groß.,
Se hett em schreen höört un is na sien Slaapkamer rönnt.,Sie hat ihn schreien gehört und ist zu seinem Schlafzimmer gerannt.,
Ik mag den Sommer nech.,Ich mag den Sommer nicht.,
"Ik vergeev di nich, utbenahmen wenn du dien ehrlichen Exküsen anbüddst.","Ich werde dir nicht verzeihen, wenn du dich nicht ehrlich entschuldigst.",
Woveel köst dat?,Wie viel kostet das?,
Wo lang duurt dat?,Wie lange dauert es?,
As Kind heff ik veel mit Poppen speelt.,Als Kind habe ich viel mit Puppen gespielt.,
Datt is gornich groot.,Das ist überhaupt nicht groß.,
Von Konsumkritik kan een sick nix köpen.,Von Konsumkritik kann man sich nichts kaufen.,
Dor hett he sik sülvs mit in ’t Knee schaten.,Damit hat er sich selbst ins Knie geschossen.,
De Tog deed gauer warrn.,Der Zug legte an Geschwindigkeit zu.,
Woveel Taschen hebbt ji?,Wie viele Taschen habt ihr?,
Lat uns Vader-Moder-Kind speelen!,"Lasst uns „Vater, Mutter, Kind“ spielen!",
"Wo kan datt angahn, datt du datt nicht wettst?","Wie ist es möglich, dass du das nicht weißt?",
Se schüll em ut.,Sie hat ihn ausgescholten.,
"Dat sütt ut, as wenn en Storm opswarkt.","Es sieht aus, als zieht ein Sturm auf.",
Dat Schipp hett de amerikaansche Flagg hisst.,Das Schiff hatte die amerikanische Flagge gehisst.,
Wullt du dit Hemd?,Willst du dieses Hemd?,
He wees Tüüg von ’n Unfall.,Er war Zeuge des Unfalls.,
"Allen flütt, nix steiht still.","Alles fließt, nichts steht still.",
He frein sick dor al op.,Er freut sich darauf.,
Kaam wannehr du man wullt.,"Komm, wann immer du willst.",
De Koken smeckt sööt.,Der Kuchen schmeckt süß.,
’Keene hört datt Äten huer to?,Wem gehört das Essen hier?,
He hätt mi ook Äten un Geld gäven.,Er gab mir auch Essen und Geld.,
Du bünt ich gau noog.,Du bist nicht schnell genug.,
Ik heff ut versehn diene Scherm nohmen.,Ich habe aus Versehen deinen Schirm genommen.,
"Du musst mi datt nech vertellen, wenn du nicht wullt.","Du musst es mir nicht erzählen, wenn du nicht willst.",
"Du musst mi datt ich vertellen, wenn du nech wullt.","Du musst mir das nicht erzählen, wenn du nicht willst.",
Datt warrn jümmerto slimmer.,Es wird immer schlimmer.,
Snackt ji Latiensch?,Sprecht ihr Latein?,
Ik kann di ’t nich seggen.,Ich kann dir das nicht sagen.,
Ik mag düsse Soort Romaans nicht.,Ich mag diese Art Romane nicht.,
He deed sik en Exküüs utdenken.,Er dachte sich eine Ausrede aus.,
Waorüm lüggt se jümmerto?,Warum lügt sie immer?,
Mit wat kan ik di helpen?,Womit kann ich dir helfen?,
"Wenn ik mal wat finn, wat mi gefallt, dunn is datt jümmerto to düür.","Wenn ich mal was finde, was mir gefällt, ist es immer zu teuer.",
"Ik bün datt ich wennt, so fröh optostahn.","Ich bin es nicht gewohnt, so früh aufzustehen.",
Ik kiek geern Kinner bi ’t Spelen to.,Ich schaue gerne Kindern beim Spielen zu.,
"Ik heff nix, wo ik mit dickdoon kan.","Ich habe nichts, womit ich prahlen könnte.",
Hest du en Drinkgeld dorlaten?,Hast du ein Trinkgeld dagelassen?,
He het tominnst drie Böker övers datt Thema schräven.,Er hat mindestens drei Bücher über das Thema geschrieben.,
"Goden Nacht, slaap goods.","Gute Nacht, schlaf gut.",
Se hätt nech veele Böker.,Sie besitzt nicht viele Bücher.,
"Se weet, dat se good utsütt.","Sie weiß, dass sie gut aussieht.",
Mien Ogen sünd blau.,Meine Augen sind blau.,
De Pütt is dröögfullen.,Die Grube ist ausgetrocknet.,
Tom hett Ria up’e Arbeid kennenlehrt.,Tom hat Maria auf der Arbeit kennengelernt.,
För Geld deit he allen.,Für Geld tut er alles.,
In Frankriek warrn veele Wien drunken.,In Frankreich wird viel Wein konsumiert.,
Se hebbt mi narrt.,Sie haben mich genarrt.,
Kann ik di wat fragen?,Kann ich dich etwas fragen?,
Ik nöhm mien Book mit.,Ich nehme mein Buch mit.,
En poor Kinner speelt op de Wisch.,Ein paar Kinder spielen auf der Wiese.,
All de annern Jungs hebbt em utlacht.,Alle anderen Jungen haben ihn ausgelacht.,
Ik snack keen Spaansch.,Ich spreche kein Spanisch.,
Ik heff toveel Wien drunken un bün düselig worrn.,Ich habe zu viel Wein getrunken und bin schwindlig geworden.,
Ik heff toveel Wien drunken un bün düselig worrn.,"Ich habe zu viel Wein getrunken, und mir ist schwindlig geworden.",
Ik bün en beropen Schauspeler.,Ich bin ein berühmter Schauspieler.,
"Wullt du dormit seggen, dat du noch nie in Boston wesen büst?","Willst du damit sagen, dass du noch nie in Boston gewesen bist?",
He deed Melk in siene Tee un het ümröhrt.,Er gab Milch in seinen Tee und rührte um.,
"He dröög en langen swarten Mantel, de em meist be na de Enkels güng.","Er trug einen langen schwarzen Mantel, der ihm beinah bis zu den Fußknöcheln reichte.",
He deed bi de Indianers läven.,Er lebte bei den Indianern.,
Mien Geduld is toenn.,Meine Geduld ist am Ende.,
De Sneeklocken blöht al jümmer temlich froh.,Die Schneeglöckchen blühen immer ziemlich früh.,
De Katte deed jümmer mauen.,Die Katze miaut immerzu.,
Ik heff dissen Satz ümschreven.,Ich habe diesen Satz umgeschrieben.,
Gröön passt nich to rood.,Grün passt nicht zu Rot.,
Se kennt veel Seggwöör.,Sie kennt viele Sprichwörter.,
Se kinnt veele Seggwöör.,Sie kennt viel Sprichwörter.,
Ik heff di datt faken seggt.,Ich habe es dir oftmals gesagt.,
Mi geit datt nu al veele beters.,Mir geht es jetzt schon viel besser.,
He pack mi an ’n Kraag.,Er packte mich am Kragen.,
Frohe Oostern!,Frohe Ostern!,
"Mien Katz mag datt, wenn ik ehr rachter de Ohren krau.","Meine Katze mag es, wenn ich sie hinter den Ohren kraule.",
"Dat Keltsche is noch jümmer dor in de Form von dat Irsche, Waliesche un Schottsch-Gäälsche.","Das Keltische ist immer noch da in Form des Irischen, Walisischen und Schottisch-Gälischen.",
