nds,de,title
Bi Nacht sünd alle Katten gries.,Bei Nacht sind alle Katzen grau.,
Ik bün vüör Eerdbeven bange.,Ich fürchte mich vor Erdbeben.,
Ik bün vüör Eerdbeven bange.,Ich habe vor Erdbeben Angst.,
Datt gefallt mi tæmlich goods.,Es gefällt mir sehr gut.,
Ik weet dor meist nix övers.,Ich weiß fast nichts darüber.,
"Wenn een toveel itt, warrn een dicke.","Wenn man zu viel isst, wird man dick.",
Elektrostal is veele gröttern as Asbest.,Elektrostal ist deutlich größer als Asbest.,
Datt is al Klock tein avends.,Es ist schon zehn Uhr abends.,
"Datt is keene Hebrääsch, man Jiddisch.","Das ist kein Hebräisch, sondern Jiddisch.",
Snack dor mit em nech övers.,Rede mit ihm nicht darüber.,
Do wat du wullt.,"Mache, was du willst.",
Do wat du wullt.,"Mach, was du willst.",
Eet diene Supp!,Iss deine Suppe!,
Is de Bänk apen?,Hat die Bank geöffnet?,
Elk Kind kreeg en Geschenk.,Jedes Kind bekam ein Geschenk.,
De sünd binnen.,Sie sind drinnen.,
He deed Geld bistüren.,Er steuerte viel Geld bei.,
Datt is miene Kantoor.,Das ist mein Büro.,
Nedderländsk lihren is nicht swor.,Niederländisch zu lernen ist nicht schwer.,
"He unn ich snacken, vonwegen datt de Tokiekers to luut wören.","Er konnte nicht sprechen, weil die Zuschauer so laut waren.",
Ik bün di een schüllig.,Ich bin dir etwas schuldig.,
Speel nech mit ehr Geföhlen.,Spiel nicht mit ihren Gefühlen.,
"Vertell mi, wat du wullt.","Erzähle mir, was du willst.",
Kiek di datt noch wedder an.,Schau dir das nochmal an.,
Se kriegen keene Cent.,Sie bekommen keinen Cent.,
"Datt bäten Geld, wat ik bi mi harrn, heff ik ehr gäven.","Ich habe ihr das wenige Geld, das ich bei mir hatte, gegeben.",
He hätt sick na ’t Avendenten henleggt.,Er hat sich nach dem Abendessen hingelegt.,
"He see, datt datt Klock negen wees.","Er sagte, es sei neun Uhr.",
Du bünt man en Student.,Du bist nur ein Student.,
Opmaal deed ik en Schree hören.,Plötzlich hörte ich einen Schrei.,
"Tom wöör to stolt, üm sick helpen to laten.","Tom war zu stolz, um Hilfe anzunehmen.",
Se sladdert teemlich gern.,Sie klatscht sehr gerne.,
Datt is en Schädel.,Das ist ein Schädel.,
Ik bün in Tokyo boren un upwossen.,Ich bin in Tokio geboren und aufgewachsen.,
Wat seggt de Klock?,Wie viel Uhr ist es?,
Wat seggt de Klock?,Was sagt die Uhr?,
"Wat he ook seggt, vertro em nicht.","Was er auch sagt, traue ihm nicht.",
Mank de Blomen wüss veele Unkrudd.,Zwischen den Blumen wuchs viel Unkraut.,
Ik heff datt Snuppdook plätt.,Ich habe das Taschentuch gebügelt.,
De Straat is natte.,Die Straße ist nass.,
Wat hess du maakt?,Was hast du gemacht?,
Ji sünd duune!,Ihr seid betrunken!,
Häs du aal Middag gieden?,Hast du schon zu Mittag gegessen?,
De Topp von ’n Barg liggt ünner Snee.,Die Bergspitze liegt unter Schnee.,
Du brickst di den Hals!,Du brichst dir den Hals!,
De letzten Beuker wörrn vor achte Daag verköfft.,Die letzten Bücher wurden vor einer Woche verkauft.,
Mi geit datt goods.,Mir geht's gut.,
Mi geit datt goods.,Mir geht es gut.,
Se deed miene Idee tostimmen.,Sie stimmte meiner Idee zu.,
Waorüm sünd de Schandarms huer?,Warum ist die Polizei hier?,
"De optimale Reeg is ich 1-2-3, man 3-2-1.","Die optimale Reihenfolge ist nicht 1-2-3, sondern 3-2-1.",
"Ik bün fröh, di to sehen!","Ich bin froh, dich zu sehen!",
He wüss datt nech.,Er wusste es nicht.,
Ik heff toveel Tiuch!,Ich habe zuviel Zeug!,
Wi mööt ierst uns Huusopgaven trech moken.,Wir müssen erst unsere Hausaufgaben fertig machen.,
"En lahme Katz is mihr weert as en gau Peerd, wenn de Pallast vull Müüs is.","Eine lahme Katze ist mehr wert als ein schnelles Pferd, wenn der Palast voller Mäuse ist.",
Tom is beneden.,Tom ist unten.,
Boomkoken is en düütschen Spezialität.,Baumkuchen ist eine deutsche Spezialität.,
Düsse Ruut lett sick nicht apenmaken.,Dieses Fenster lässt sich nicht öffnen.,
Drie Ies harrn ik giern.,"Drei Eis, bitte.",
Ik bün vüör den Krigg in Europa wesen.,Ich war vor dem Kriege in Europa.,
Wettst du wat?,Weißt du etwas?,
"Wenn den Schipper de Wellen wegsnappen, is gor ich to beduurn de Mann. Wat geiht den dösigen Knappen datt Froonsminsch dor boben an?","Ich glaube, die Wellen verschlingen am Ende Schiffer und Kahn; und das hat mit ihrem Singen die Lore-Ley getan.",
Wi sünd övers ’n Atlantik flagen.,Wir sind über den Atlantik geflogen.,
He möök datt Kiekschapp ut un füng datt Lihren an.,Er schaltete den Fernseher aus und fing an zu lernen.,
Een het mi miene Saken stahlen.,Jemand hat mir meine Sachen gestohlen.,
"„Gest du Rias al maol sünner ehr Handtasch sehen?“ – „Rias? Ne, noch nien.“","„Hast du Maria schon einmal ohne ihre Handtasche gesehen?“ – „Maria? Nein, noch nie.“",
Ik bün plietsch.,Ich bin schlau.,
"As ik 15 wees, heff ik en egen Komer kriegen.","Als ich 15 war, bekam ich ein eigenes Zimmer.",
He schient gern to överdrieven.,Er scheint gerne zu übertreiben.,
Tom drinken gor keene Alkohool.,Tom trinkt gar keinen Alkohol.,
Rachter datt Kino is en Park.,Hinter dem Kino ist ein Park.,
Wo hätt Tom mit Rias övers utsnackt?,Worüber hat Tom mit Maria gesprochen?,
Kan ik miene Dokter spreken?,Kann ich meinen Doktor sprechen?,
Se het sick datt Foto von mi as lütt Buttjer keken un hätt lacht.,Sie hat sich das Foto von mir als kleinem Jungen angeschaut und hat gelacht.,
Du schußt miene Raat antonehmen.,Du solltest meinen Rat annehmen.,
De Buer het siene Trecker in ’e Schüün staht.,Der Bauer hat seinen Traktor in der Scheune stehen.,
Ik heff datt Book för tweehunnerd Yen kofft.,Ich habe das Buch für zweihundert Yen gekauft.,
Datt spöökt in datt Huus.,Es spukt in dem Haus.,
Ik heff jümmerto en Wöörbook bi ’e Hand.,Ich habe immer ein Wörterbuch bei der Hand.,
Düsse Wand is gröön anstreken.,Diese Wand ist grün gestrichen.,
Ik heff ehr vüör twe Joht jichtens sehen.,Ich habe sie vor zwei Jahren irgendwo gesehen.,
Ik kan nech wiedergahn.,Ich kann nicht weitergehen.,
Bruuk af un to mal diene Kopp.,Benutz gelegentlich mal deinen Kopf.,
"Datt deit weh, di so to sehen.","Es tut weh, dich so zu sehen.",
He keem in’t Wanken un füll hen.,Er verlor das Gleichgewicht und fiel hin.,
Wat schall ’t dunn wäsen?,Was darf’s denn sein?,
Datt is mi schietegaal.,Das geht mir am Arsch vorbei.,
Miene Tog is Klock söven losföhrt un Klock tein in New York ankamen.,Mein Zug ist um sieben abgefahren und um zehn in New York angekommen.,
Legg de Eier in datt kakendige Woter.,Lege die Eier in das kochende Wasser.,
Ik snack mit di.,Ich spreche mit dir.,
Ik heff datt in en Koophuus kofft.,Ich habe das in einem Kaufhaus gekauft.,
He keek ehr deep in de Ogen.,Er sah ihr tief in die Augen.,
Italien is in Europa.,Italien ist in Europa.,
He is en bäten beters as en Pracher.,Er ist ein wenig besser als ein Bettler.,
Wis mi en annern Bispell.,Zeig mir ein anderes Beispiel.,
Falken sünd Griepvagels.,Falken sind Greifvögel.,
Datt is afköhlt.,Es hat sich abgekühlt.,
Gold is sworer as Sülver.,Gold ist schwerer als Silber.,
Tom is al drie Daag in’t Krankenhuus.,Tom ist schon seit drei Tagen im Krankenhaus.,
Utstarven is Deel von de Evolution.,Das Aussterben ist ein Teil der Evolution.,
Miene Hobby is Breevmarkensammeln.,Mein Steckenpferd ist Briefmarkensammeln.,
Wi hebbt keene Geld övers.,Wir haben kein Geld übrig.,
Ik verstoh de Musiek nicht.,Ich verstehe die Musik nicht.,
"Ik heff utfunnen, waorüm as de Maschienen ich güng.","Ich habe herausgefunden, warum die Maschine nicht ging.",
Wat leest du?,Was liest du?,
Miene Süster is twe Joht jünger as ik.,Meine Schwester ist zwei Jahre jünger als ich.,
"Du kunnst sitten gohn, wo du wullt.","Du kannst dich hinsetzen, wo du willst.",
Ik heff tövt un tövt.,Ich wartete und wartete.,
"Bedankt, kan ik en bäten mihr kregen?","Danke, kann ich ein bisschen mehr bekommen?",
Mak de door tau rachter di.,Schließ die Tür hinter dir.,
De Laden verköfft Aavt un Grööntüüg.,Das Geschäft verkauft Obst und Gemüse.,
De Laden verköfft Aavt un Grööntüüg.,Der Laden verkauft Obst und Gemüse.,
Wi hebbt en Bullenhitt.,Es herrscht eine Affenhitze.,
De Ampel deed root warrt.,Die Verkehrsampel wurde rot.,
De Ampel deed root warrt.,Die Ampel wurde rot.,
De Kole Krigg füng na ’n Tweeten Weltkrieg an.,Der Kalte Krieg fing nach dem Zweiten Weltkrieg an.,
Dor lööp en Rött övers de Straat.,Da läuft eine Ratte über die Straße.,
En fuligen Röök keem ut de Kuhl hoogstegen.,Ein fauliger Geruch kam aus dem Erdloch herauf.,
„Lat mi tofreden!“ see se argerlich.,Lass mich in Ruhe! sagte sie ärgerlich.,
Datt huer is en Foto von miene Schilleraatsen.,Das hier ist ein Foto von meinem Gemälde.,
In dissen Huus wahnt tein Lüdd.,In diesem Haus wohnen zehn Leute.,
„Wat för en söte lütter Hund. Waorüm heet he Panda?“ „Vonwegen datt siene Gesicht utsütt as datt von en Panda.“,„Was für ein süßer Welpe. Warum heißt er Panda?“ „Weil sein Gesicht aussieht wie das eines Panda.“,
Wi sünd nech in ’n Dschungel.,Wir sind nicht im Dschungel.,
He schellen ehr Appel.,Er schält ihren Apfel.,
Ik eet mit miene Hannen.,Ich esse mit meinen Händen.,
Dit Wekenenn warrn de Klocken een Stünn trüggstellt.,Dieses Wochenende werden die Uhren eine Stunde zurückgestellt.,
Mi gefallt dit Hemd nicht. Wis mi en anneren.,Mir gefällt dieses Hemd nicht. Zeige mir ein anderes.,
Se hätt di weckt.,Sie hat dich geweckt.,
Un wat krigg ik dor för?,Und was bekomme ich dafür?,
In ’e Köök fehlt en Spöölmaschien.,In der Küche fehlt eine Spülmaschine.,
Papa het Böker för mi kofft.,Papa hat Bücher für mich gekauft.,
He keem ut China trügg.,Er kehrte aus China zurück.,
Ik snack kuum mit em.,Ich spreche kaum mit ihm.,
He hätt sick in ’t Siek fastföhrt.,Er hat sich im Bachtal festgefahren.,
Düsse Melk hüllt sick twe Daag.,Diese Milch hält sich zwei Tage.,
Ik seh datt Huus.,Ich sehe das Haus.,
Se is na Ibaragi gohn.,Sie ist nach Ibaraki gegangen.,
"Ik heff dor övers nadacht, wat du mi seggt hess.","Ich habe über das, was du mir gesagt hast, nachgedacht.",
Höörst du de Vogels süngen?,Hörst du die Vögel singen?,
Ik harrn ehr vörher al faken dropen.,Ich hatte sie vorher schon viele Male getroffen.,
Köönt wi snacken?,Können wir reden?,
Se het mi namiddags anropen.,Sie hat mich nachmittags angerufen.,
He süht slecht.,Er sieht schlecht.,
Datt sünd keene Wöör.,Das sind keine Worte.,
Datt sünd keene Wöör.,Das sind keine Wörter.,
En bäten to lat is veele to lat.,Ein bisschen zu spät ist viel zu spät.,
He is gau.,Er ist schnell.,
Ik wees vüör üm un bi een Joht huer.,Ich war vor ungefähr einem Jahr hier.,
De Atoomtall von Iesen is 26.,Die Ordnungszahl von Eisen ist 26.,
De Atoomtall von Iesen is 26.,Die Atomnummer für Eisen ist 26.,
De Atoomtall von Iesen is 26.,Die Ordnungszahl für Eisen lautet 26.,
Ik bün jüst huer ankamen.,Ich bin hier gerade angekommen.,
"De de Schoh passt, de trecken hum an.","Wem der Schuh passt, der zieht ihn sich an.",
Wat maakt se?,Was machen sie?,
Tom sitt up’n Pott.,Tom ist auf’m Klo.,
Kunnst du mi datt Dingens röverrecken?,Kannst du mir mal das Dings reichen?,
Se utsnackt söven Spraken.,Sie spricht sieben Sprachen.,
"Man tütt si ich eier iut, bes man naon Bedd geiht.","Man zieht sich nicht eher aus, als man zu Bett geht.",
"Se hätt em rümsnackt, na datt Konzert to gohn.","Sie hat auf ihn eingeredet, in das Konzert zu gehen.",
Gest du Tennis speelt?,Hast du Tennis gespielt?,
"Ik fraag mi, woveel Peer in ’n Unafhängigkeidskrieg dootbleven sünd.","Ich frage mich, wie viele Pferde im Unabhängigkeitskrieg umgekommen sind.",
Woveel Spraken snackst du?,Wie viele Sprachen sprichst du?,
Ik bruuk datt so gau datt geit.,Ich brauche es so schnell wie möglich.,
De Lüdd nöömt ehr Yotchan.,Man sagte zu ihr Yotchan.,
"Tom un Rias säen, datt se datt geern doon.","Tom und Maria sagten, sie täten das gern.",
Ik heff man de Halvscheed von ehr Böker.,Ich habe nur halb so viele Bücher wie sie.,
Du büst ümmer to late.,Du bist immer zu spät.,
De Barg is tweedusend Meter övers de Seed.,Der Berg ist zweitausend Meter hoch über Normalnull.,
Sünd se groot?,Sind sie groß?,
He unn utkniepen.,Er konnte entkommen.,
He tuuster mi wat in ’t Ohr.,Er flüsterte mir etwas ins Ohr.,
Drinken ji jümmerto veele Bier?,Trinkt ihr immer viel Bier?,
Datt schall nüms weten.,Niemand wird's erfahren.,
Ik seet op ’t Partemang un wees an ’t Simmeleren.,Ich saß auf dem Klo und dachte nach.,
He deed kott twieveln.,Er zweifelte kurz.,
Hau een diene Book in ’t Gesicht un segg: Facebook!,Klatsche jemandem dein Buch ins Gesicht und sag: Facebook!,
Datt Huus dor hört mi to.,Das Haus dort gehört mir.,
Datt warrn von Dag to Dag hitter.,Es wird von Tag zu Tag heißer.,
Wat wees de Welt ahn Froonslüüd?,Was wäre die Welt ohne Frauen?,
"Ik bün 1,83 m groot.","Ich bin 1,83 m groß.",
"Ik bün 1,83 m groot.",Ich bin einen Meter dreiundachtzig groß.,
Se het em schreen hört un is na siene Slaapkamer rönnt.,Sie hat ihn schreien gehört und ist zu seinem Schlafzimmer gerannt.,
Ik mag den Sommer nech.,Ich mag den Sommer nicht.,
"Ik vergeev di nicht, utbenahmen wenn du diene ehrlichen Exküsen anbüddst.","Ich werde dir nicht verzeihen, wenn du dich nicht ehrlich entschuldigst.",
Woveel kost datt?,Wie viel kostet das?,
Wo lange duurn datt?,Wie lange dauert es?,
As Kind heff ik veele mit Poppen speelt.,Als Kind habe ich viel mit Puppen gespielt.,
Datt is gornich groot.,Das ist überhaupt nicht groß.,
Von Konsumkritik kan een sick nix köpen.,Von Konsumkritik kann man sich nichts kaufen.,
Dor hätt he sick sülvens mit in ’t Kneen schaten.,Damit hat er sich selbst ins Knie geschossen.,
De Tog deed gaue warrt.,Der Zug legte an Geschwindigkeit zu.,
Woveel Taschen hebbt ji?,Wie viele Taschen habt ihr?,
Lat uns Vader-Moder-Kind speelen!,"Lasst uns „Vater, Mutter, Kind“ spielen!",
"Wo kan datt angahn, datt du datt ich wettst?","Wie ist es möglich, dass du das nicht weißt?",
Se schüll em ut.,Sie hat ihn ausgescholten.,
"Datt süht ut, as wenn en Storm opswarkt.","Es sieht aus, als zieht ein Sturm auf.",
Datt Schipp het de amerikaanschen Flagg hisst.,Das Schiff hatte die amerikanische Flagge gehisst.,
Wullt du dit Hemd?,Willst du dieses Hemd?,
He wees Tüüg von ’n Unfall.,Er war Zeuge des Unfalls.,
"Allen flütt, nix steiht still.","Alles fließt, nichts steht still.",
He frein sick dor al op.,Er freut sich darauf.,
Kaam wannehr du man wullt.,"Komm, wann immer du willst.",
De Koken smeckt sööt.,Der Kuchen schmeckt süß.,
’Keene hört datt Äten huer to?,Wem gehört das Essen hier?,
He hätt mi ook Äten un Geld gäven.,Er gab mir auch Essen und Geld.,
Du böst nech gau noog.,Du bist nicht schnell genug.,
Ik heff ut versehn diene Scherm nohmen.,Ich habe aus Versehen deinen Schirm genommen.,
"Du musst mi datt nicht vertellen, wenn du ich wullt.","Du musst es mir nicht erzählen, wenn du nicht willst.",
"Du musst mi datt nech vertellen, wenn du nicht wullt.","Du musst mir das nicht erzählen, wenn du nicht willst.",
Datt warrn jümmerto slimmer.,Es wird immer schlimmer.,
Utsnackt ji Latiensch?,Sprecht ihr Latein?,
Ik kan di ’t ich seggen.,Ich kann dir das nicht sagen.,
Ik mag düsse Soort Romaans nech.,Ich mag diese Art Romane nicht.,
He deed sick en Exküüs utdenken.,Er dachte sich eine Ausrede aus.,
Waorüm lüggt se jümmerto?,Warum lügt sie immer?,
Mit wat kan ik di helpen?,Womit kann ich dir helfen?,
"Wenn ik maol wat finn, wat mi gefallt, dann is datt jümmerto to düür.","Wenn ich mal was finde, was mir gefällt, ist es immer zu teuer.",
"Ik bün datt nicht wennt, so fröh optostahn.","Ich bin es nicht gewohnt, so früh aufzustehen.",
Ik kiek gern Kinner bi ’t Speelen to.,Ich schaue gerne Kindern beim Spielen zu.,
"Ik heff nix, wo ik mit dickdoon kan.","Ich habe nichts, womit ich prahlen könnte.",
Hess du en Drinkgeld dorlaten?,Hast du ein Trinkgeld dagelassen?,
He het tominnst drie Böker övers datt Thema schräven.,Er hat mindestens drei Bücher über das Thema geschrieben.,
"Goden Nacht, slaap goods.","Gute Nacht, schlaf gut.",
Se hätt ich veele Böker.,Sie besitzt nicht viele Bücher.,
"Se weet, datt se goods utsütt.","Sie weiß, dass sie gut aussieht.",
Mien Ogen sünd blau.,Meine Augen sind blau.,
De Pütt is dröögfullen.,Die Grube ist ausgetrocknet.,
Tom het Rias up’e Arbeid kennenlehrt.,Tom hat Maria auf der Arbeit kennengelernt.,
För Geld deit he allen.,Für Geld tut er alles.,
In Frankriek warrn veele Wien drunken.,In Frankreich wird viel Wein konsumiert.,
Se hebbt mi narrt.,Sie haben mich genarrt.,
Kan ik di wat frogen?,Kann ich dich etwas fragen?,
Ik nöhm miene Book mit.,Ich nehme mein Buch mit.,
En poor Kinners speelt op de Wisch.,Ein paar Kinder spielen auf der Wiese.,
Alle de anner Jugs hebbt em utlacht.,Alle anderen Jungen haben ihn ausgelacht.,
Ik snack keene Spaansche.,Ich spreche kein Spanisch.,
Ik heff toveel Wien drunken un bün düselig worrn.,Ich habe zu viel Wein getrunken und bin schwindlig geworden.,
Ik heff toveel Wien drunken un bün düselig worrn.,"Ich habe zu viel Wein getrunken, und mir ist schwindlig geworden.",
Ik bün en beropen Schauspeler.,Ich bin ein berühmter Schauspieler.,
"Wullt du dormit seggen, datt du noch nien in Boston wesen bünt?","Willst du damit sagen, dass du noch nie in Boston gewesen bist?",
He deed Melk in siene Tee un hätt ümröhrt.,Er gab Milch in seinen Tee und rührte um.,
"He dröög en langen swarten Mantel, de em meist be na de Enkels güng.","Er trug einen langen schwarzen Mantel, der ihm beinah bis zu den Fußknöcheln reichte.",
He deed bi de Indianers läven.,Er lebte bei den Indianern.,
Miene Geduld is toenn.,Meine Geduld ist am Ende.,
De Sneeklocken blöht al jümmerto tæmlich froh.,Die Schneeglöckchen blühen immer ziemlich früh.,
De Katte deed jümmer mauen.,Die Katze miaut immerzu.,
Ik heff dissen Satz ümschreven.,Ich habe diesen Satz umgeschrieben.,
Gröön passt nech to root.,Grün passt nicht zu Rot.,
Se kinnt veele Seggwöör.,Sie kennt viele Sprichwörter.,
Se kinnt veele Seggwöör.,Sie kennt viel Sprichwörter.,
Ik heff di datt faken seggt.,Ich habe es dir oftmals gesagt.,
Mi geit datt nu al veele beters.,Mir geht es jetzt schon viel besser.,
He pack mi an ’n Kraag.,Er packte mich am Kragen.,
Frohe Oostern!,Frohe Ostern!,
"Mien Katz mag datt, wenn ik ehr rachter de Ohren krau.","Meine Katze mag es, wenn ich sie hinter den Ohren kraule.",
