nds,de
Elk Kind kreeg en Geschenk.,Jedes Kind bekam ein Geschenk.
De sünd binnen.,Sie sind drinnen.
He deed Geld bistüren.,Er steuerte viel Geld bei.
Dat is mien Kantoor.,Das ist mein Büro.
Nedderlandsch lehren is nich swoor.,Niederländisch zu lernen ist nicht schwer.
"He kunn nich snacken, vonwegen dat de Tokiekers to luud weren.","Er konnte nicht sprechen, weil die Zuschauer so laut waren."
Ik bün di een schüllig.,Ich bin dir etwas schuldig.
Speel nich mit ehr Geföhlen.,Spiel nicht mit ihren Gefühlen.
"Vertell mi, wat du wullt.","Erzähle mir, was du willst."
Kiek di dat noch wedder an.,Schau dir das nochmal an.
Se kregen keen Cent.,Sie bekommen keinen Cent.
"Dat beten Geld, wat ik bi mi harr, heff ik ehr geven.","Ich habe ihr das wenige Geld, das ich bei mir hatte, gegeben."
He hett sik na ’t Avendeten henleggt.,Er hat sich nach dem Abendessen hingelegt.
"He seed, dat dat Klock negen weer.","Er sagte, es sei neun Uhr."
Du büst man en Student.,Du bist nur ein Student.
Opmaal deed ik en Schree hören.,Plötzlich hörte ich einen Schrei.
"Tom wöör to stolt, üm sik helpen to loten.","Tom war zu stolz, um Hilfe anzunehmen."
Se sladdert temlich geern.,Sie klatscht sehr gerne.
Dat is en Schädel.,Das ist ein Schädel.
Ik bün in Tokyo boren un opwussen.,Ich bin in Tokio geboren und aufgewachsen.
Wat seggt de Klock?,Wie viel Uhr ist es?
Wat seggt de Klock?,Was sagt die Uhr?
"Wat he ook seggt, vertro em nich.","Was er auch sagt, traue ihm nicht."
Mank de Blomen wüss veel Unkruud.,Zwischen den Blumen wuchs viel Unkraut.
Ik heff dat Snuuvdook plätt.,Ich habe das Taschentuch gebügelt.
De Straat is natt.,Die Straße ist nass.
Wat hest du maakt?,Was hast du gemacht?
Ji sünd duun!,Ihr seid betrunken!
Häs du aal Meddag gieden?,Hast du schon zu Mittag gegessen?
De Topp von ’n Barg liggt ünner Snee.,Die Bergspitze liegt unter Schnee.
Du brickst di den Hals!,Du brichst dir den Hals!
De letzten Beuker wörrn vor acht Daag verköfft.,Die letzten Bücher wurden vor einer Woche verkauft.
Mi geiht dat good.,Mir geht's gut.
Mi geiht dat good.,Mir geht es gut.
Se deed mien Idee tostimmen.,Sie stimmte meiner Idee zu.
Worüm sünd de Schandarms hier?,Warum ist die Polizei hier?
"De optimale Reeg is nich 1-2-3, man 3-2-1.","Die optimale Reihenfolge ist nicht 1-2-3, sondern 3-2-1."
"Ik bün froh, di to sehn!","Ich bin froh, dich zu sehen!"
He wüss dat nich.,Er wusste es nicht.
Ik heff toveel Tiuch!,Ich habe zuviel Zeug!
Wi mööt eerst uns Huusopgaven trech maken.,Wir müssen erst unsere Hausaufgaben fertig machen.
"En lahme Katt is mehr weerd as en gau Peerd, wenn de Pallast vull Müüs is.","Eine lahme Katze ist mehr wert als ein schnelles Pferd, wenn der Palast voller Mäuse ist."
Tom is beneden.,Tom ist unten.
Boomkoken is en düütsche Spezialität.,Baumkuchen ist eine deutsche Spezialität.
Disse Ruut lett sik nich apenmaken.,Dieses Fenster lässt sich nicht öffnen.
Dree Ies harr ik geern.,"Drei Eis, bitte."
Ik bün vör den Krieg in Europa wäsen.,Ich war vor dem Kriege in Europa.
Weetst du wat?,Weißt du etwas?
"Wenn den Schipper de Wellen wegsnappen, is gor nich to beduurn de Mann. Wat geit den dösigen Knappen dat Froonsminsch dor boben an?","Ich glaube, die Wellen verschlingen am Ende Schiffer und Kahn; und das hat mit ihrem Singen die Lore-Ley getan."
Wi sünd över ’n Atlantik flagen.,Wir sind über den Atlantik geflogen.
He möök dat Kiekschapp ut un füng dat Lehren an.,Er schaltete den Fernseher aus und fing an zu lernen.
Een hett mi mien Saken stahlen.,Jemand hat mir meine Sachen gestohlen.
"„Hest du Ria al mal sünner ehr Handtasch sehn?“ – „Ria? Ne, noch nie.“","„Hast du Maria schon einmal ohne ihre Handtasche gesehen?“ – „Maria? Nein, noch nie.“"
Ik bün plietsch.,Ich bin schlau.
"As ik 15 weer, heff ik en egen Kamer kregen.","Als ich 15 war, bekam ich ein eigenes Zimmer."
He schient geern to överdrieven.,Er scheint gerne zu übertreiben.
Tom drinkt gor keen Alkohol.,Tom trinkt gar keinen Alkohol.
Achter dat Kino is en Park.,Hinter dem Kino ist ein Park.
Wo hett Tom mit Ria över snackt?,Worüber hat Tom mit Maria gesprochen?
Kann ik mien Dokter spreken?,Kann ich meinen Doktor sprechen?
Se hett sik dat Foto von mi as lütt Buttjer ankeken un hett lacht.,Sie hat sich das Foto von mir als kleinem Jungen angeschaut und hat gelacht.
Du schusst mien Raad annehmen.,Du solltest meinen Rat annehmen.
De Buur hett sien Trecker in ’e Schüün stahn.,Der Bauer hat seinen Traktor in der Scheune stehen.
Ik heff dat Book för tweehunnerd Yen köfft.,Ich habe das Buch für zweihundert Yen gekauft.
Dat spöökt in dat Huus.,Es spukt in dem Haus.
Ik heff jümmer en Wöörbook bi ’e Hand.,Ich habe immer ein Wörterbuch bei der Hand.
Disse Wand is gröön streken.,Diese Wand ist grün gestrichen.
Ik heff ehr vör twee Johr jichtens sehn.,Ich habe sie vor zwei Jahren irgendwo gesehen.
Ik kann nich wiedergahn.,Ich kann nicht weitergehen.
Bruuk af un to maal dien Kopp.,Benutz gelegentlich mal deinen Kopf.
"Dat deit weh, di so to sehn.","Es tut weh, dich so zu sehen."
He keem in’t Wanken un füll hen.,Er verlor das Gleichgewicht und fiel hin.
Wat schall ’t denn wesen?,Was darf’s denn sein?
Dat is mi schietegaal.,Das geht mir am Arsch vorbei.
Mien Tog is Klock söven losföhrt un Klock teihn in New York ankamen.,Mein Zug ist um sieben abgefahren und um zehn in New York angekommen.
Legg de Eier in dat kakendige Water.,Lege die Eier in das kochende Wasser.
Ik snack mit di.,Ich spreche mit dir.
Ik heff dat in en Koophuus köfft.,Ich habe das in einem Kaufhaus gekauft.
He keek ehr deep in de Ogen.,Er sah ihr tief in die Augen.
Italien is in Europa.,Italien ist in Europa.
He is en beten beter as en Pracher.,Er ist ein wenig besser als ein Bettler.
Wies mi en anner Bispeel.,Zeig mir ein anderes Beispiel.
Falken sünd Griepvagels.,Falken sind Greifvögel.
Dat is afköhlt.,Es hat sich abgekühlt.
Gold is sworer as Sülver.,Gold ist schwerer als Silber.
Tom is al dree Daag in’t Krankenhuus.,Tom ist schon seit drei Tagen im Krankenhaus.
Utstarven is Deel von de Evolution.,Das Aussterben ist ein Teil der Evolution.
Mien Hobby is Breevmarkensammeln.,Mein Steckenpferd ist Briefmarkensammeln.
Wi hebbt keen Geld över.,Wir haben kein Geld übrig.
Ik verstah de Musik nich.,Ich verstehe die Musik nicht.
"Ik heff rutfunnwn, worüm as de Maschien nich güng.","Ich habe herausgefunden, warum die Maschine nicht ging."
Wat leest du?,Was liest du?
Mien Süster is twee Johr jünger as ik.,Meine Schwester ist zwei Jahre jünger als ich.
"Du kannst sitten gahn, wo du wullt.","Du kannst dich hinsetzen, wo du willst."
Ik heff töövt un töövt.,Ich wartete und wartete.
"Bedankt, kann ik en beten mehr kriegen?","Danke, kann ich ein bisschen mehr bekommen?"
Maak de door tau achter di.,Schließ die Tür hinter dir.
De Laden verköfft Aavt un Grööntüüg.,Das Geschäft verkauft Obst und Gemüse.
De Laden verköfft Aavt un Grööntüüg.,Der Laden verkauft Obst und Gemüse.
Wi hebbt en Bullenhitt.,Es herrscht eine Affenhitze.
De Ampel deed rood warrn.,Die Verkehrsampel wurde rot.
De Ampel deed rood warrn.,Die Ampel wurde rot.
De Kole Krieg füng na ’n Tweten Weltkrieg an.,Der Kalte Krieg fing nach dem Zweiten Weltkrieg an.
Dor lööp en Rött över de Straat.,Da läuft eine Ratte über die Straße.
En fuligen Röök keem ut de Kuhl hoogstegen.,Ein fauliger Geruch kam aus dem Erdloch herauf.
„Laat mi tofreden!“ seed se argerlich.,Lass mich in Ruhe! sagte sie ärgerlich.
Dat hier is en Foto von mien Schilleraats.,Das hier ist ein Foto von meinem Gemälde.
In düssen Huus wohnt teihn Lüüd.,In diesem Haus wohnen zehn Leute.
„Wat för en söten lütten Hund. Worüm heet he Panda?“ „Vonwegen dat sien Gesicht utsütt as dat von en Panda.“,„Was für ein süßer Welpe. Warum heißt er Panda?“ „Weil sein Gesicht aussieht wie das eines Panda.“
Wi sünd nich in ’n Dschungel.,Wir sind nicht im Dschungel.
He schellt ehr Appel.,Er schält ihren Apfel.
Ik eet mit mien Hannen.,Ich esse mit meinen Händen.
Dit Wekenenn warrt de Klocken een Stünn trüggstellt.,Dieses Wochenende werden die Uhren eine Stunde zurückgestellt.
Mi gefallt dit Hemd nich. Wies mi en anner.,Mir gefällt dieses Hemd nicht. Zeige mir ein anderes.
Se hett di weckt.,Sie hat dich geweckt.
Un wat krieg ik dor för?,Und was bekomme ich dafür?
In ’e Köök fehlt en Spöölmaschien.,In der Küche fehlt eine Spülmaschine.
Papa hett Böker för mi köfft.,Papa hat Bücher für mich gekauft.
He keem ut China trügg.,Er kehrte aus China zurück.
Ik snack kuum mit em.,Ich spreche kaum mit ihm.
He hett sik in ’t Siek fastföhrt.,Er hat sich im Bachtal festgefahren.
Disse Melk höllt sik twee Daag.,Diese Milch hält sich zwei Tage.
Ik seh dat Huus.,Ich sehe das Haus.
Se is na Ibaragi gahn.,Sie ist nach Ibaraki gegangen.
"Ik heff dor över nadacht, wat du mi seggt hest.","Ich habe über das, was du mir gesagt hast, nachgedacht."
Höörst du de Vagels singen?,Hörst du die Vögel singen?
Ik harr ehr vörher al faken drapen.,Ich hatte sie vorher schon viele Male getroffen.
Köönt wi snacken?,Können wir reden?
Se hett mi namiddags anropen.,Sie hat mich nachmittags angerufen.
He sütt slecht.,Er sieht schlecht.
Dat sünd keen Wöör.,Das sind keine Worte.
Dat sünd keen Wöör.,Das sind keine Wörter.
En beten to laat is veel to laat.,Ein bisschen zu spät ist viel zu spät.
He is gau.,Er ist schnell.
Ik weer vör üm un bi een Johr hier.,Ich war vor ungefähr einem Jahr hier.
De Atoomtall von Iesen is 26.,Die Ordnungszahl von Eisen ist 26.
De Atoomtall von Iesen is 26.,Die Atomnummer für Eisen ist 26.
De Atoomtall von Iesen is 26.,Die Ordnungszahl für Eisen lautet 26.
Ik bün jüst hier ankamen.,Ich bin hier gerade angekommen.
"De de Schoh passt, de treckt hum an.","Wem der Schuh passt, der zieht ihn sich an."
Wat maakt se?,Was machen sie?
Tom sitt up’n Pott.,Tom ist auf’m Klo.
Kannst du mi dat Dingens röverrecken?,Kannst du mir mal das Dings reichen?
Se snackt söven Spraken.,Sie spricht sieben Sprachen.
"Man tütt si nich eier iut, bes man naon Bedde geit.","Man zieht sich nicht eher aus, als man zu Bett geht."
"Se hett em rümsnackt, na dat Kunzert to gahn.","Sie hat auf ihn eingeredet, in das Konzert zu gehen."
Hest du Tennis speelt?,Hast du Tennis gespielt?
"Ik fraag mi, woveel Peer in ’n Unafhängigkeidskrieg doodbleven sünd.","Ich frage mich, wie viele Pferde im Unabhängigkeitskrieg umgekommen sind."
Woveel Spraken snackst du?,Wie viele Sprachen sprichst du?
Ik bruuk dat so gau dat geiht.,Ich brauche es so schnell wie möglich.
De Lüüd nöömt ehr Yotchan.,Man sagte zu ihr Yotchan.
"Tom un Ria säen, dat se dat giern doot.","Tom und Maria sagten, sie täten das gern."
Ik heff man de Halvscheed von ehr Böker.,Ich habe nur halb so viele Bücher wie sie.
Du büs ümmer to late.,Du bist immer zu spät.
De Barg is tweedusend Meter över de See.,Der Berg ist zweitausend Meter hoch über Normalnull.
Sünd se groot?,Sind sie groß?
He kunn utkniepen.,Er konnte entkommen.
He tuuster mi wat in ’t Ohr.,Er flüsterte mir etwas ins Ohr.
Drinkt ji jümmer veel Beer?,Trinkt ihr immer viel Bier?
Dat schall nüms weten.,Niemand wird's erfahren.
Ik seet op ’t Partemang un weer an ’t Simmeleren.,Ich saß auf dem Klo und dachte nach.
He deed kort twieveln.,Er zweifelte kurz.
Hau een dien Book in ’t Gesicht un segg: Facebook!,Klatsche jemandem dein Buch ins Gesicht und sag: Facebook!
Dat Huus dor höört mi to.,Das Haus dort gehört mir.
Dat warrt von Dag to Dag hitter.,Es wird von Tag zu Tag heißer.
Wat weer de Welt ahn Froonslüüd?,Was wäre die Welt ohne Frauen?
"Ik bün 1,83 m groot.","Ich bin 1,83 m groß."
"Ik bün 1,83 m groot.",Ich bin einen Meter dreiundachtzig groß.
Se hett em schreen höört un is na sien Slaapkamer rönnt.,Sie hat ihn schreien gehört und ist zu seinem Schlafzimmer gerannt.
Ik mag den Sommer nich.,Ich mag den Sommer nicht.
"Ik vergeev di nich, utbenahmen wenn du dien ehrlichen Exküsen anbüddst.","Ich werde dir nicht verzeihen, wenn du dich nicht ehrlich entschuldigst."
Woveel köst dat?,Wie viel kostet das?
Wo lang duurt dat?,Wie lange dauert es?
As Kind heff ik veel mit Poppen speelt.,Als Kind habe ich viel mit Puppen gespielt.
Dat is gornich groot.,Das ist überhaupt nicht groß.
Von Konsumkritik kann een sik nix köpen.,Von Konsumkritik kann man sich nichts kaufen.
Dor hett he sik sülvs mit in ’t Knee schaten.,Damit hat er sich selbst ins Knie geschossen.
De Tog deed gauer warrn.,Der Zug legte an Geschwindigkeit zu.
Woveel Taschen hebbt ji?,Wie viele Taschen habt ihr?
Laat uns Vader-Moder-Kind spelen!,"Lasst uns „Vater, Mutter, Kind“ spielen!"
"Wo kann dat angahn, dat du dat nich weetst?","Wie ist es möglich, dass du das nicht weißt?"
Se schüll em ut.,Sie hat ihn ausgescholten.
"Dat sütt ut, as wenn en Storm opswarkt.","Es sieht aus, als zieht ein Sturm auf."
Dat Schipp hett de amerikaansche Flagg hisst.,Das Schiff hatte die amerikanische Flagge gehisst.
Wullt du dit Hemd?,Willst du dieses Hemd?
He weer Tüüg von ’n Unfall.,Er war Zeuge des Unfalls.
"Allens flütt, nix steiht still.","Alles fließt, nichts steht still."
He freit sik dor al op.,Er freut sich darauf.
Kaam wannehr du man wullt.,"Komm, wann immer du willst."
De Koken smeckt sööt.,Der Kuchen schmeckt süß.
’Keen höört dat Eten hier to?,Wem gehört das Essen hier?
He hett mi ook Eten un Geld geven.,Er gab mir auch Essen und Geld.
Du büst nich gau noog.,Du bist nicht schnell genug.
Ik heff ut versehn dien Scherm nahmen.,Ich habe aus Versehen deinen Schirm genommen.
"Du musst mi dat nich vertellen, wenn du nich wullt.","Du musst es mir nicht erzählen, wenn du nicht willst."
"Du musst mi dat nich vertellen, wenn du nich wullt.","Du musst mir das nicht erzählen, wenn du nicht willst."
Dat warrt jümmer slimmer.,Es wird immer schlimmer.
Snackt ji Latiensch?,Sprecht ihr Latein?
Ik kann di ’t nich seggen.,Ich kann dir das nicht sagen.
Ik mag disse Soort Romaans nich.,Ich mag diese Art Romane nicht.
He deed sik en Exküüs utdenken.,Er dachte sich eine Ausrede aus.
Worüm lüggt se jümmer?,Warum lügt sie immer?
Mit wat kann ik di helpen?,Womit kann ich dir helfen?
"Wenn ik maal wat finn, wat mi gefallt, denn is dat jümmer to düür.","Wenn ich mal was finde, was mir gefällt, ist es immer zu teuer."
"Ik bün dat nich wennt, so froh optostahn.","Ich bin es nicht gewohnt, so früh aufzustehen."
Ik kiek geern Kinners bi ’t Spelen to.,Ich schaue gerne Kindern beim Spielen zu.
"Ik heff nix, wo ik mit dickdoon kann.","Ich habe nichts, womit ich prahlen könnte."
Hest du en Drinkgeld dorlaten?,Hast du ein Trinkgeld dagelassen?
He hett opminnst dree Böker över dat Thema schreven.,Er hat mindestens drei Bücher über das Thema geschrieben.
"Gode Nacht, slaap good.","Gute Nacht, schlaf gut."
Se hett nich veel Böker.,Sie besitzt nicht viele Bücher.
"Se weet, dat se good utsütt.","Sie weiß, dass sie gut aussieht."
Miene Ogen sünd blau.,Meine Augen sind blau.
De Pütt is dröögfullen.,Die Grube ist ausgetrocknet.
Tom hett Ria up’e Arbeit kennenlihrt.,Tom hat Maria auf der Arbeit kennengelernt.
För Geld deit he allens.,Für Geld tut er alles.
In Frankriek warrt veel Wien drunken.,In Frankreich wird viel Wein konsumiert.
Se hebbt mi narrt.,Sie haben mich genarrt.
Kann ik di wat fragen?,Kann ich dich etwas fragen?
Ik nehm mien Book mit.,Ich nehme mein Buch mit.
En poor Kinner speelt op de Wisch.,Ein paar Kinder spielen auf der Wiese.
All de annern Jungs hebbt em utlacht.,Alle anderen Jungen haben ihn ausgelacht.
Ik snack keen Spaansch.,Ich spreche kein Spanisch.
Ik heff toveel Wien drunken un bün düselig worrn.,Ich habe zu viel Wein getrunken und bin schwindlig geworden.
Ik heff toveel Wien drunken un bün düselig worrn.,"Ich habe zu viel Wein getrunken, und mir ist schwindlig geworden."
Ik bün en beropen Schauspeler.,Ich bin ein berühmter Schauspieler.
"Wullt du dormit seggen, dat du noch nie in Boston wäsen büst?","Willst du damit sagen, dass du noch nie in Boston gewesen bist?"
He deed Melk in sien Tee un hett ümröhrt.,Er gab Milch in seinen Tee und rührte um.
"He dröög en langen swarten Mantel, de em meist be na de Enkels güng.","Er trug einen langen schwarzen Mantel, der ihm beinah bis zu den Fußknöcheln reichte."
He deed bi de Indianers leven.,Er lebte bei den Indianern.
Mien Geduld is toenn.,Meine Geduld ist am Ende.
De Sneeklocken blöht al jümmer temlich fröh.,Die Schneeglöckchen blühen immer ziemlich früh.
De Katt deed jümmerto mauen.,Die Katze miaut immerzu.
Ik heff düssen Satz ümschreven.,Ich habe diesen Satz umgeschrieben.
Gröön passt nich to rood.,Grün passt nicht zu Rot.
Se kennt veel Seggwöör.,Sie kennt viele Sprichwörter.
Se kennt veel Seggwöör.,Sie kennt viel Sprichwörter.
Ik heff di dat faken seggt.,Ich habe es dir oftmals gesagt.
Mi geiht dat nu al veel beter.,Mir geht es jetzt schon viel besser.
He pack mi an ’n Kraag.,Er packte mich am Kragen.
Frohe Oostern!,Frohe Ostern!
"Miene Katt mag dat, wenn ik ehr achter de Ohren krau.","Meine Katze mag es, wenn ich sie hinter den Ohren kraule."
"Dat Keltsche is noch jümmer dor in de Form von dat Irsche, Waliesche un Schottsch-Gäälsche.","Das Keltische ist immer noch da in Form des Irischen, Walisischen und Schottisch-Gälischen."
Mien Kledaasch weer mit Ööl insuddelt.,Meine Kleidung war mit Öl verschmutzt.
Achter mien Huus is en lütten Diek.,Hinter meinem Haus ist ein kleiner Teich.
"Se hett en Söhn, de Dokter is.","Sie hat einen Sohn, der Arzt ist."
Ik föhr mit ’t Rad na Arbeid.,Ich fahre mit dem Rad zur Arbeit.
"Se deed bleek warrn, as se de Naricht hören deed.","Sie erbleichte, als sie die Nachricht hörte."
"Se deed bleek warrn, as se de Naricht hören deed.","Sie ist bleich geworden, als sie die Nachricht gehört hat."
He is an ’t Stüür toslapen un harr en Unfall.,Er ist am Steuer eingeschlafen und hatte einen Unfall.
Ik will nich alleen gahn.,Ich will nicht allein gehen.
Frankriek liggt süden von England.,Frankreich liegt südlich von England.
Mien Kamer is dubbelt so groot as sien.,Mein Zimmer ist doppelt so groß wie seins.
"Se hett ehr best daan, em to övertügen.","Sie hatte ihr Bestes getan, ihn zu überzeugen."
Laat den Hund nich binnenkamen.,Lasst den Hund nicht hereinkommen.
Ik heff den Film op Video keken.,Ich habe den Film auf Video gesehen.
Wat hest du in de Kœk sehen?,Was hast du in der Küche gesehen?
Hest du hier wat verloren?,Hast du hier etwas verloren?
De Soldaten stünnen all stramm.,Die Soldaten standen alle stramm.
Gaht de Kinner na School?,Gehen die Kinder in die Schule?
